_,Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c,url
[Case],5007Q00000TeqK3QAJ,01148152,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,1.1 Migrazione al PSN - PAC,caricamento file allegato 3 domanda,non riesco a caricare il file allegato3 domanda.pdf firmato in modalità pades (pdf) [FAKE_PERSON] il documento originale ed il documento firmato,"<p><span style=""font-size: 14px; color: rgb(51, 72, 92);"">Gentile [FAKE_PERSON], grazie per averci contattato.</span></p><p><span style=""font-size: 14px; color: rgb(51, 72, 92);"">Ti confermiamo che da verifiche </span></p><p><span style=""font-size: 14px; color: rgb(51, 72, 92);"">la candidatura 87424 relativa all’avviso Avviso 1.1 &quot;Infrastrutture digitali&quot; - Altre PAC - giugno 2023 per l&#39;amministrazione [FAKE_INDIRIZZO] è stata correttamente inviata ed è in fase di [FAKE_PERSON]>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000TeqK3QAJ/view
[Case],5007Q00000TerxyQAB,01148226,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.4.3 Adozione PagoPA e AppIO,"Errore materiale - errata indicazione ""[FAKE_INDIRIZZO] della migrazione""","Con la presente, in riferimento alla domanda ""Misura 1.4.3 PagoPA COMUNI (Settembre 2022) presentata in data 17/12/2022, siamo a comunicare che, per mero errore materiale, ai seguenti servizi: 8) ANNI PRECEDENTI - [FAKE_INDIRIZZO] sui rifiuti (TARI, [FAKE_INDIRIZZO], TARSU, TARES, ecc.); 13) Diritti di segreteria per certificati anagrafici; 15) Proventi e [FAKE_INDIRIZZO] spazi ed aree pubbliche; 20) Certificati di destinazione urbanistica; 23) Diritti di rogito, è stato indicato quale stato della migrazione ""Attività avviata dopo il 31 marzo 2021 con risorse proprie"" anziché ""Attività da avviare"". Siamo per tanto a chiedere gentilmente, per i servizi sopra indicati, di voler variare lo stato della migrazione in ""Attività da avviare"". Distinti saluti.","<p><span style="""">Gentile Marco, grazie per averci contattato.</span></p><p><span style="""">Ti invitiamo ad accedere alla sezione &quot;I tuoi progetti&quot;, cliccare sul progetto di tuo interesse e nella sezione “Ulteriori documenti allegati” caricare un documento che indichi la caratteristica attuativa corretta, sottoscritto dal [FAKE_PERSON] dell&#39;Ente.</span></p><p><br></p><p><span style="""">Ti ricordiamo che discriminante per la caratteristica attuativa (&quot;da avviare&quot; oppure &quot;già avviato&quot;) è la data di sottomissione della candidatura e che la validità della documentazione potrà essere accertata esclusivamente in fase di asseverazione formale e controlli a campione.</span></p><p><br></p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000TerxyQAB/view
[Case],5007Q00000Tes4xQAB,01148229,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,1.2 Abilitazione e facilitazione migrazione al Cloud,RICHIESTA FINANZIAMENTO,"Ho completato le informazioni per la richiesta di erogazione del finanziamento: 1) nella sezione CONFLITTO DI INTERESSE, in mancanza di conflitti devo flaggare [FAKE_INDIRIZZO] o [FAKE_INDIRIZZO] (la domanda contiene una negazione e non riesco a capire bene); 2) perché dopo aver completato e salvato non mi consente di generare e scaricare la domanda di finanziamento? Ringrazio per l'attenzione e saluto cordialmente","<p>Gentile Mario, grazie per averci contattato.</p><p><span style=""font-size: 11pt;"">Al fine della risoluzione della problematica ti suggeriamo di verificare di aver compilato correttamente tutti i campi obbligatori, in particolare di aver indicato &[FAKE_INDIRIZZO]; nei campi relativi al conflitto di interesse e doppio finanziamento, e di aver caricato il certificato di regolare esecuzione del RUP in formato p7m. Soltanto a seguito di tali operazioni, potrai generare il pdf della richiesta di erogazione del finanziamento.</span></p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000Tes4xQAB/view
[Case],5007Q00000Tes96QAB,01148263,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.2 Abilitazione e facilitazione migrazione al Cloud,ichiesta assistenza “Avviso Investimento 1.2 “Abilitazione al Cloud per le [FAKE_INDIRIZZO] (dicembre 2022)”. Fondi PNRR,"[FAKE_INDIRIZZO], 14/10/2023 [FAKE_INDIRIZZO] Questa scuola nelle domanda di partecipazione ha previsto la migrazione di 8 servizi poiche per il servizio di cui al nr. 3 (PRESENZE) il costo è molto oneroso (presente e futuro) in quanto è necessario dotarsi anche di terminali per la timbratura del cartellino si puo' rinunciare a questo servizio oppure è [FAKE_PERSON] farli tutti ?","<p>[FAKE_INDIRIZZO], grazie per averci contattato. Ti informiamo che la candidatura in stato &quot;Finanziata&quot; non è modificabile e non è, pertanto, possibile aggiungere e/o sostituire e/o rimuovere uno o più servizi. Ti ricordiamo inoltre che l&#39;erogazione del contributo è prevista solo ed esclusivamente nel caso in cui l’ente abbia rispettato integralmente quanto indicato in fase di adesione. Il mancato raggiungimento, anche parziale, degli obiettivi previsti dell&#39;investimento ammesso a finanziamento è motivo di revoca del finanziamento intero. Ti segnaliamo che è comunque possibile annullare la pratica, anche a seguito dell&#39;emissione del decreto di finanziamento, tramite la funzionalità &quot;Progetti&quot;, cliccando sul tasto &quot;Rinuncia al progetto&quot;.</p><p>Ti invitiamo a fare le opportune valutazioni del caso, anche chiedendo supporto all&#39;account manager della tua area territoriale, raggiungibile tramite il [FAKE_INDIRIZZO] che segue: https://padigitale2026.gov.it/team-territoriali.</p><p>Ti ricordiamo infine che l&#39;intero contributo concesso è una somma forfettaria (lump sum) che sarà erogata in un&#39;unica soluzione a seguito del perfezionamento delle attività oggetto del finanziamento come disposto dagli avvisi. Considerata la natura di lump sum del contributo, lo stesso non è collegato ai costi dell’intervento. Non è infatti prevista la rendicontazione economica a costi reali, ma la rendicontazione tecnico-operativa che certifichi gli obiettivi raggiunti, come previsto dagli avvisi.</p><p>Se i costi dell’intervento superano il contributo concesso, la differenza è a carico dell’ente. Le risorse non utilizzate, invece, non dovranno essere restituite e non sussistono vincoli per il loro impiego. </p><p>Si suggerisce, in ogni caso, di prendere visione delle &quot;Linee guida per i soggetti attuatori individuati tramite [FAKE_INDIRIZZO] pubblici a [FAKE_INDIRIZZO] sum&quot; disponibile al seguente link https://innovazione.gov.it/italia-digitale-2026/attuazione-misure-pnrr/</p><p><br></p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000Tes96QAB/view
[Case],5007Q00000Tes9pQAB,01148264,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Implementazione del progetto e dei servizi,1.2 Abilitazione e facilitazione migrazione al Cloud,[FAKE_PERSON] importo finanziato per formazione,"Buongiorno con la presente sono a chiedere se è possibile utilizzare l'avanzo dell'importo finanziato e previsto per il passaggio al Cloud Formazione classi e orario dei docenti per acquistare un pacchetto di ore di formazione per le tre figure che utilizzano il programma. In attesa di un vostro cordiale saluto, porgo cordiali saluti. DS Assunta [FAKE_PERSON]","<p>Gentile Assunta, grazie per averci contattato.</p><p>Ti ricordiamo che il contributo concesso è una somma forfettaria (lump sum) che sarà erogata in un&#39;unica soluzione a seguito del perfezionamento delle attività oggetto del finanziamento come disposto dall&#39;art. 13 dell&#39;Avviso. [FAKE_PERSON] del finanziamento è indicata nell&#39;Allegato 2 dell&#39;Avviso e trattandosi di una somma forfettaria non è prevista la rendicontazione a costi reali. Ti informiamo, infine, che non sussistono vincoli per l&#39;impiego dell&#39;importo non utilizzato, tuttavia è consigliabile adoperarlo nell&#39;ambito della digitalizzazione.</p><p> Si suggerisce, in ogni caso, di prendere visione delle &quot;Linee guida per i soggetti attuatori individuati tramite [FAKE_INDIRIZZO] pubblici a [FAKE_INDIRIZZO] sum&quot; <a href=""https://innovazione.gov.it/[FAKE_INDIRIZZO]-digitale-2026/attuazione-misure-pnrr/"" target=""_blank"" style=""color: windowtext;"">https://innovazione.gov.it/[FAKE_INDIRIZZO]-digitale-2026/attuazione-misure-pnrr/</a> </p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000Tes9pQAB/view
[Case],5007Q00000TesCtQAJ,01148266,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,Nessuno,Comunicazione nuovo codice di [FAKE_INDIRIZZO],"Si segnala che, con deliberazione della Giunta Regionale n. 1867 del 30 dicembre 2022 e la nota DDG 2 del [FAKE_PHONE] dell’[FAKE_INDIRIZZO] per le [FAKE_INDIRIZZO] con decorrenza dal 01 settembre 2023 i due Istituti Scolastici ITCG [FAKE_PERSON] e IIS Bonifazi, entrambi con sede a [FAKE_INDIRIZZO] hanno dato origine ad una nuova autonomia scolastica denominata I.I.S. Bonifazi-Corridoni . Pertanto, in riferimento al pagamento dei progetti  afferenti all’ex I.T.C.G. “Filippo Corridoni” di [FAKE_INDIRIZZO] si fa presente che dal 01/09/2023 il nuovo codice di [FAKE_INDIRIZZO] è il seguente: 312792/332. Essendo un campo pre-compilato e non modificabile, si comunica che per il progetto 1.4.1 - Esperienza del Cittadino - Scuole - Aprile 2022 si procederà richiedendo l'erogazione con il vecchio codice di [FAKE_INDIRIZZO] pre-compilato ed inserendo in allegato una dichiarazione con il nuovo codice. Se non fosse questa la procedura corretta, Vi preghiamo di fornirci indicazioni.","<p>[FAKE_PERSON], grazie per averci contattato. Al fine di risolvere la tua problematica, ti invitiamo ad inviare una comunicazione a mezzo PEC all&#39;indirizzo [FAKE_EMAIL]</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000TesCtQAJ/view
[Case],5007Q00000Tet1qQAB,01148276,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Rendicontazione e documenti giustificativi,,"PNRR MISURA 1.4.1 "" ESPERIENZA DEL CITTADINO NEI [FAKE_INDIRIZZO]""",CHE COSA SI INTENDE PER CODICE GESTIONALE DI CONTABILITÀ PUBBLICA?,,,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000Tet1qQAB/view
[Case],5007Q00000TetfZQAR,01148278,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,1.1 Migrazione al PSN - PAC,agenzia nazionale beni confiscati,"Sono il dirigente dei sistemi informativi dell'ANBSC volendo partecipare all'avviso m1.1 per infrastrutture per altre PAC, il mio SPID non è riconosciuto. Si richiede supporto per conoscere quali utenze sono abilitate ad operare. Si rappresenta che la ANBSC è completamente censita in IPA.",,,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000TetfZQAR/view
[Case],5007Q00000TevNjQAJ,01148280,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Implementazione del progetto e dei servizi,1.2 Abilitazione e facilitazione migrazione al Cloud,richiesta riscontro a quesiti su conversione dati e formazione,Ho dei quesiti da porvi in quanto per avviare la misura in oggetto abbiamo riscontrato diversi problemi che ci sono stati segnalati dalla ditta affidataria,"<p>Gentile Salvatore, <span style=""font-size: 10pt;"">grazie per averci contattato. </span></p><p><br></p><p><span style=""font-size: 10pt;""><span class=""ql-cursor"">﻿</span>Rispondiamo per punti:</span></p><p><span style=""font-size: 10pt;"">1. Non ci sono criticità in quanto indicato.</span></p><p><span style=""font-size: 10pt;"">2. E&#39; una scelta che spetta all&#39;ente e non è oggetto di controlli tecnici in fase di asseverazione.</span></p><p><span style=""font-size: 10pt;"">3. [FAKE_INDIRIZZO] dell&#39;avviso è la full migration, pertanto verrà verificato in fase di asseverazione che tutti i dati (al netto del quantitativo), e non solo gli applicativi, successivamente alla migrazione devono risiedere su Cloud Qualificato presente su [FAKE_INDIRIZZO]>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000TevNjQAJ/view
[Case],5007Q00000TewWDQAZ,01148283,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Implementazione del progetto e dei servizi,1.2 Abilitazione e facilitazione migrazione al Cloud,migrazione dati on premise destrutturato,[FAKE_INDIRIZZO]' Ente ha fatto domanda per dei servizi da on premise destrutturato essendo che le applicazioni principali sono tutte in cloud da tempo.,"<p><span style=""font-size: 14px;"">Gentile Salvatore, grazie per averci contatto.</span></p><p><br></p><p><span style=""font-size: 14px; background-color: rgb(255, 255, 255); color: rgb(0, 0, 0);"">Si ricorda che come riportato nell&#39;allegato 2 dell&#39;Avviso 1.2 Migrazione al Cloud, l&#39;obiettivo del presente avviso è la migrazione completa (Full Migration), di conseguenza anche tutti i dati, e non solo gli applicativi, successivamente alla migrazione devono risiedere su Cloud Qualificato presente su Marketplace ACN.</span></p><p><br></p><p><span style=""font-size: 14px; background-color: rgb(255, 255, 255); color: rgb(0, 0, 0);"">Per questo motivo, in merito al servizio citato, sarà sufficiente dimostrare che il servizio è stato migrato ed è in uso in produzione, con tutti i dati afferenti (al netto del quantitativo).</span></p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000TewWDQAZ/view
