_,Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c,url
[Case],5007Q00000a0iHpQAI,01159784,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,1.3.1 PDND,PROFILAZIONE DIRIGENTE SCOLASTICO,"BUONASERA, SONO ATTUALMENTE PROFILATO COME INCARICATO DEL DIRIGENTE SCOLASTICO. VORREI SAPERE COME FARE IN MODO CHE IL DIRIGENTE POSSA ACCEDERE A TUTTE LE FUNZIONALITA' DELLA PIATTAFORMA","<p>[FAKE_PERSON], grazie per averci contattato.</p><p>Ti informiamo che, da verifiche effettuate, la mail di invito è stata inviata all&#39;indirizzo mail [FAKE_EMAIL]</p><p>nella data di [FAKE_PERSON]>Per completare la procedura, è necessario che l&#39;utente invitato apra la mail (Oggetto - Conferma invito - [FAKE_INDIRIZZO] digitale 2026) e clicchi sul tasto &quot;Conferma Invito&quot;. Sarà rimandato alla [FAKE_INDIRIZZO] in cui dovrà effettuare l&#39;accesso con SPID per confermare definitivamente l&#39;invito e accedere in piattaforma.</p><p><br></p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000a0iHpQAI/view
[Case],5007Q00000a0iYqQAI,01159883,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,1.4.3 Adozione pagoPA,[FAKE_INDIRIZZO] RAPPRESENETANTE LEGALE,"[FAKE_INDIRIZZO], come da precedenti ticket si segnala che il problema dell'errato nome del legale rappresentante persiste sull'istanza della misura [FAKE_INDIRIZZO], mentre nella domanda di erogazione di finanziamento (es. misura 1.4.5) il nome è corretto. I riferimenti su ""la mia [FAKE_INDIRIZZO]"" di codesto portale sono esatti. La misura è in scadenza il 08.01.2023. Si chiede supporto. Grazie","<p>Gentile utente, grazie per averci contattato. Come da conversazione telefonica intercorsa e avendo provveduto ad eliminare il vecchio file che riportava i dati del Rappresentante legale alla data di generazione del documento, ti invitiamo, qualora non avessi già proceduto, a rifare la procedura attingendo stavolta ai dati aggiornati</p>","[FAKE_INDIRIZZO],
provando a generare il documento per l'istanza di modifica, la pagina carica senza produrre il documento (abbiamo atteso anche 40 minuti).
Si allegano screenshot.","<p><span style=""color: rgb(68, 68, 68);"">Gentile [FAKE_PERSON], la tua segnalazione è stata risolta. Ti invitiamo ad accedere nuovamente alla piattaforma e riprovare. Grazie</span></p>",https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000a0iYqQAI/view
[Case],5007Q00000a0igVQAQ,01159886,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Contrattualizzazione fornitori,1.2 Abilitazione e facilitazione migrazione al Cloud,Data di riferimento 1.2.2020,"[FAKE_INDIRIZZO], Vi contatto in riferimento Ambito Progetto - 1.2 Abilitazione al Cloud - Comuni - Luglio 2022 - [FAKE_INDIRIZZO] di [FAKE_INDIRIZZO] Codice identificativo  65561 [FAKE_INDIRIZZO] comune ha contrattualizzato l'abilitazione al Cloud in data 27/12/2019, come da relativa determina, ma ha avviato le attività a decorrere dal 1.02.2020 come relativo addendum firmato dal Funzionario Comunale e dalla ditta [FAKE_PERSON]. con [FAKE_INDIRIZZO] si richiede un chiarimento comunicandoci il KO perchè : ""Si ricorda che, per ciascun servizio, il documento contrattuale deve essere relativo a una MIGRAZIONE IN CLOUD e avere data successiva al 01/02/2020."" Si segnala che con nostra Candidatura Codice identificativo  65561 veniva richiesto che: ""b. che le attività di cui al finanziamento richiesto sono state avviate a decorrere dal 1° febbraio 2020 ovvero che saranno avviate a far data dalla notifica del decreto di finanziamento;"" così come nel Bando 1.2 ""ART. 7 - AMMISSIBILITÀ DELLE DOMANDE DI PARTECIPAZIONE E DEI SOGGETTI ATTUATORI 1. Le domande di partecipazione devono essere presentate in conformità con le disposizioni di cui al successivo art. 9 e soddisfare i seguenti requisiti di ammissibilità: I. Ammissibilità della domanda di partecipazione (nel seguito anche solo “progetto”) a. coerenza del progetto con i target e milestone previsti dal PNRR e citati all’art. 1 del presente Avviso; b. le attività di cui al finanziamento richiesto con il progetto sono state avviate a decorrere dal 1° febbraio 2020;"" Si richiede pertanto se la data del 1.2.2020 deve essere riferita alla contrattualizzazione oppure come da [FAKE_PERSON] e da domanda inviata  all'avvio delle attività . [FAKE_PERSON] saluti","<p>Gentile Mauro, grazie per averci contattato.</p><p>Ti confermiamo che sono ammissibili a finanziamento esclusivamente le attività contrattualizzate a decorrere dal 1° febbraio 2020, come disciplinato all’art. 17 comma 2 del Regolamento (UE) 2021/241.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000a0igVQAQ/view
[Case],5007Q00000a0igvQAA,01159889,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,1.4.3 Adozione pagoPA,Vostra richiesta [FAKE_PHONE],"[FAKE_INDIRIZZO], nella determina n. 270 del 9/11/2023 di approvazione dei due cre  ho specificato che il documento di stipula [FAKE_PERSON] con la società PaDigitale riguardava l'attivazione di n. 39 servizi di entrata pagopa in quanto i servizi Canone Unico Patrimoniale e Canone Unico Patrimoniale Corporate sono stati avviati dopo il 31/03/2021 con risorse proprie. Anche nella domanda di finanziamento è stato specificato le le due attività erano state già avviate dopo il 31 marzo 2021 con risorse proprie. E' sufficiente inviare tale determina oppure devo comunque procedere ad inviare atto di ricognizione? [FAKE_PERSON] copia delle 2 determine ([FAKE_INDIRIZZO] e [FAKE_INDIRIZZO]) e resto in attesa di vostre indicazioni","<p>[FAKE_PERSON], grazie per averci contattato.</p><p>Con riferimento al tuo quesito, ti invitiamo a fornire un riscontro diretto alla citata Richiesta ID [FAKE_PHONE] proveniente dai controlli di asseverazione formale entro e non oltre la scadenza prevista dalla Richiesta stessa.</p><p>Nel caso specifico, nella [FAKE_INDIRIZZO] si sottolinea che &quot;<em>In alternativa</em><span style=""background-color: rgb(255, 255, 255); font-size: 14px;"">, </span><em>in caso non sia possibile reperire la documentazione inerente l&#39;affidamento per i servizi attivati nel 2021 e 2022 si chiede di produrre e inviare un atto di ricognizione&quot;.</em></p><p><br></p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000a0igvQAA/view
[Case],5007Q00000a0ikNQAQ,01159888,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Malfunzionamento della Piattaforma,1.4.5 Digitalizzazione degli avvisi pubblici,TERRITORIO - Probabile bug Candidatura 1.4.5 verifiche automatiche [FAKE_INDIRIZZO] di [FAKE_INDIRIZZO],"Il comune di [FAKE_INDIRIZZO] ha mandato in asseverazione tecnica candidatura 1.4.5, le verifiche automatiche gli hanno rimandato indietro la candidatura con la richiesta [FAKE_PHONE] che però non è stata notificata via mail ne' all'ente ne' ai referenti del dipartimento. Questa richiesta però riapre il cronoprogramma e l'ente non ne sa nulla se non entra nella piattaforma. Grazie","<p>Gentile Utente, grazie per averci contattato.</p><p>Ti informiamo che abbiamo interrogato il fornitore che ci informa che in caso di KO automatico con descrizione &quot;almeno uno dei servizi non risulta attivo&quot; non è prevista notifica mezzo mail.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000a0ikNQAQ/view
[Case],5007Q00000a0jgCQAQ,01159897,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.4.3 Adozione appIO,Impossibilità completamento attività per mancata validazione nomi generici Servizi AppIO,"Per la candidatura 23341, non ci è possibile completare le attività per i due servizi ""AVVISI DI PAGAMENTI altri servizi"" (CODICE ID DEL SERVIZIO: 01H3C9AMSWRC16PYZRGY8TP8YF) e ""Promemoria di pagamento altri servizi"" (CODICE ID DEL SERVIZIO: 01H3CE6NNGEF8V5PS4KQ7MH9VQ), in quanto sulla piattaforma di gestione developer.io.italia.it non è possibile validare i nomi associati a suddetti servizi, ai quali afferiscono pagamenti e avvisi di diverse tipologie (già attive in PagoPA), rendendone quindi impossibile la pubblicazione in piattaforma AppIO.","<p>[FAKE_PERSON], [FAKE_PERSON] averci contattato. A seguito [FAKE_PERSON] sulla candidatura presentatta ti suggeriamo di utilizzare il Decreto Modifiche n. [FAKE_PHONE] che ha previsto la possibilità per l&#39;Ente di richiedere modifiche al progetto, tale richiesta è comunque soggetta ad una valutazione da parte del DTD e di PagoPA. Entrando nel progetto troverai il tasto che permetterà di fare la richiesta di sostituzione dei servizi non attivabili. A questo proposito ti invitiamo, preventivamente, a contattare PagoPA per individuare la corretta nomenclatura dei servizi da inserire. Ti ricordiamo, infine,  che puoi sempre contattare l’Account Manager del tuo territorio utilizzando il Form all’indirizzo che segue: <a href=""https://padigitale2026.gov.it/team-territoriali"" target=""_blank"">https://padigitale2026.gov.it/team-territoriali</a> .</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000a0jgCQAQ/view
[Case],5007Q00000a0jqRQAQ,01159901,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Rendicontazione e documenti giustificativi,1.4.5 Digitalizzazione degli avvisi pubblici,erogazione finanziamento PND - documenti da allegare,"[FAKE_PERSON], dovrei presentare la domanda di erogazione del [FAKE_INDIRIZZO] ma avrei bisogno di una conferma","<p>[FAKE_INDIRIZZO], grazie per averci contattato. Ti informiamo che il documento che hai allegato è un documento di esclusiva pertinenza dell&#39;asseveratore. La redazione del certificato di regolare esecuzione è a cura del RUP. Ti ricordiamo che il certificato di regolare esecuzione (CRE) da predisporre a cura del RUP non deve rispettare una modulistica precisa e può essere prodotto in autonomia.</p><p> </p><p>Come linea guida da seguire nella redazione del documento, a titolo indicativo ti informiamo che il CRE deve contenere menzione dei seguenti dati principali:</p><p>·     Data Decreto di Finanziamento</p><p>·     Avviso Misura</p><p>·     CUP</p><p>·     Importo del Finanziamento</p><p>·     Elenco documentazione contrattuale con cui si è disposto l&#39;affidamento dei servizi</p><p>·     Codice identificativo di gara (laddove previsto)</p><p>·     Elenco delle attività/servizi oggetto di finanziamento</p><p>·     Atto di nomina del RUP</p><p>Precisiamo che si tratta degli elementi minimi che un CRE deve contenere, il quale può essere integrato con eventuali altre informazioni che l’ente attuatore ritiene utile richiamare.</p><p>In caso di contratti quadro contenenti più servizi, anche di durata pluriennale, è inoltre necessario specificare in modo dettagliato il servizio oggetto di CRE al fine di circoscrivere il perimetro di regolare esecuzione dei servizi per i quali si certifica e per cui l’operatore economico potrà emettere fattura.</p><p>Ti ricordiamo, infine, che la validità della documentazione potrà essere accertata esclusivamente in fase di asseverazione formale e controlli a campione. Per un format di esempio a altri approfondimenti ti invitiamo a consultare le linee guida soggetto attuatore al seguente indirizzo <a href=""https://innovazione.gov.it/[FAKE_INDIRIZZO]-digitale-2026/attuazione-misure-pnrr/"" target=""_blank"">https://innovazione.gov.it/[FAKE_INDIRIZZO]-digitale-2026/attuazione-misure-pnrr/</a> , nella cartella [FAKE_INDIRIZZO] digitale 2026: <a href=""https://assets.innovazione.gov.it/17[FAKE_PHONE]-231127_linee-guida-ls-v-5.zip"" target=""_blank"">Linee guida per i Soggetti attuatori individuati tramite [FAKE_PERSON] a <em>lump sum</em> - <em>novembre 2023</em> ([FAKE_INDIRIZZO]>. Il documento che riporta le informazioni richieste è Allegato_A_INDICAZIONI OPERATIVE</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000a0jqRQAQ/view
[Case],5007Q00000a0nBTQAY,01159910,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Rendicontazione e documenti giustificativi,1.3.1 PDND,obbligo di rifiuto fattura per progetto in verifica,"Attualmente la misura 1.3.1 si trova in fase di verifica, a seguito di richiesta erogazione. La ditta affidataria ha già emesso la sua fattura per la prestazione eseguita, ma è intenzione dell'Ente rifiutarla in quanto non ancora perfezionato il finanziamento da parte del ministero competente, per non anticipare fondi non ancora incassati. E' corretto ? C'è una normativa specifica di riferimento da indicare per il rifiuto della fattura?","<p>Gentile Francesca, grazie per averci contattato.</p><p>In merito al rapporto con il fornitore e agli importi da liquidare, ti informiamo che il dipartimento non interviene nel rapporto tra attuatore ed erogatore/fornitore che è regolato dal contratto tra essi stipulato, anche in tema di corrispettivi e tempistiche di pagamento. Ti ricordiamo, infine, che è possibile corrispondere i dovuti, a titolo di anticipo e/o saldo, ai fornitori in qualsiasi momento. L&#39;articolo 13 dell&#39;Avviso, infatti, sancisce solamente l&#39;obbligo dell&#39;Ente a corrispondere i dovuti ai fornitori, qualora non lo abbia già fatto, a seguito dell&#39;erogazione dell&#39;importo forfettario.</p><p>Per quanto non disposto, si rimanda alla vigente normativa.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000a0nBTQAY/view
[Case],5007Q00000a0nG4QAI,01159913,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Rendicontazione e documenti giustificativi,1.2 Abilitazione e facilitazione migrazione al Cloud,come richiedere il finanziamento,ho ricevuto la fattura relativa a tale progetto e quindi mi occorre ottenere il finanziamento come devo procedere? non vedo la possibilità di inserire nella rendicontazione la fattura,"<p>[FAKE_PERSON], grazie per averci contattato.</p><p>Il contributo concesso è una somma forfettaria (lump sum) che sarà erogata in un&#39;unica soluzione a seguito del perfezionamento delle attività oggetto del finanziamento come disposto dall&#39;art. 13 dell&#39;Avviso. [FAKE_PERSON] del finanziamento è indicata nell&#39;Allegato 2 dell&#39;Avviso, come previsto dall&#39;art. 8. Trattandosi di una somma forfettaria non devono essere rendicontati i costi sostenuti.</p><p>Non è quindi necessario caricare alcuna fattura in [FAKE_PERSON]>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000a0nG4QAI/view
[Case],5007Q00000a0nLJQAY,01159917,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,1.2 Abilitazione e facilitazione migrazione al Cloud,INTEGRAZIONE PROGETTO,"[FAKE_INDIRIZZO]. Chiedo se sia possibile fare quanto segue: la scuola ha già presentato un progetto di migrazione con il bando precedente, effettuato ordine, acquisto e contratto, migrazione avviata. Ora con il bando uscito a ottobre può ripresentare un nuovo progetto aggiungendo altri servizi cloud precedentemente non disponibili? La scuola avrebbe così due progetti Servizi cloud 1.2, uno avviato e uno con richiesta di finanziamento","<p>[FAKE_PERSON], grazie per averci contattato.</p><p>Le proposte di Soggetti Attuatori già ammessi al finanziamento a valere sull’Avviso Investimento</p><p>1.2 “Abilitazione al Cloud per le [FAKE_INDIRIZZO] locali“ [FAKE_INDIRIZZO] (Aprile 2022), sull’Avviso Investimento 1.2</p><p>“Abilitazione al Cloud per le [FAKE_INDIRIZZO] locali“ [FAKE_INDIRIZZO] (Giugno 2022) e sull’Avviso Investimento 1.2</p><p>“Abilitazione al Cloud per le [FAKE_INDIRIZZO] locali“ [FAKE_INDIRIZZO] (Dicembre 2022) non sono ammissibili ai fini dell&#39;Avviso 1.2 “Abilitazione al Cloud per le [FAKE_INDIRIZZO]>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000a0nLJQAY/view
