Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c,url
500bU00000dOvQDQA0,01251005,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,,1.4.1 Esperienza dei servizi pubblici,richiesta informazioni relative ad un avviso nella mia scrivania,Si chiede vostra assistenza per risolvere la richiesta che mi appare nella mia scrivania:,"<p>[FAKE_PERSON], grazie per averci contattato. Ti informiamo che il banner visualizzato in cima alla pagina è un promemoria generico per tutti gli enti al fine di ricordare la scadenza ultima del 31/03/2026 per completare le attività.</p><p>Nel tuo caso, non ci sono ulteriori step da compiere. Laddove si aprissero attività a tuo carico, le troveresti nella sezione seguente, dove infatti appare 0 attività da gestire.</p><p>Ti invitiamo pertanto ad ignorare il banner generico.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000dOvQDQA0/view
500bU00000dOwgDQAS,01251014,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,,1.4.1 Esperienza dei servizi pubblici,Problemi nel completamento dell'attività,"Nella gestione progetto  Misura 1.4.1 - Esperienza del Cittadino - Comuni - Settembre 2022 nella sezione completamento delle attività , nel servizio ""Presentare domanda per bonus Economici  in "" Servizi Socio-assistenziali sanitari""  non si riesce ad impostare  la conferma alla data odierna del servizio.","<p>[FAKE_PERSON], grazie per averci contattato.</p><p>Ti informiamo che per poter procedere al completamento del progetto, è necessario cliccare accanto alla seconda voce &quot;Url scheda servizio&quot; su elimina URL. Dopodichè procedere a cliccare su leggi tutto per proseguire, deflaggare e flaggare nuovamente su &quot;ho letto compreso e accettato le dichiarazioni&quot; ed a quel punto si attiverà il tasto &quot;completa il progetto&quot;</p><p>Ti invitiamo a procedere. </p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000dOwgDQAS/view
500bU00000dOpgnQAC,01251016,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,,1.3.1 ANNCSU,Problematica chiusura progetto,"Nonostante l'attestazione dei dati fatta su Sister in data 20/01/2026, ancora ad oggi i dati non risultano valorizzati su [FAKE_INDIRIZZO], per poter mandare in asseverazione il progetto","<p>[FAKE_PERSON], grazie per averci contattato. E&#39; in corso la risoluzione di una criticità relativa al passaggio dati da Agenzia delle Entrate a [FAKE_INDIRIZZO] digitale 2026. Ti invitiamo pertanto a ricontrollare tra un paio di giorni il corretto aggiornamento dei dati in piattaforma che consentirà il completamento del progetto. Laddove tali dati non fossero ancora presenti, ti invitiamo a richiedere - entro la scadenza del cronoprogramma fissata al 06/02/2026 - un posticipo della scadenza scegliendo una data entro il termine ultimo del 31/03/2026.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000dOpgnQAC/view
500bU00000dP5kgQAC,01251017,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,,1.3.1 ANNCSU,PROBLEMA INSERIMENTO P.IVA SVIZZERA,Devo inserire il contratto della Misura 1.3.1 ANNCSU entro oggi. La ditta contrattualizzata è svizzera. Nel primo step della procedura di inserimento del contratto non è presente la [FAKE_INDIRIZZO] tra i [FAKE_INDIRIZZO] dell'elenco proposto nella sezione P.IVA. Si chiede un riscontro a stretto giro per rispettare la scadenza di contrattualizzazione.,"<p>Gentile Monia, grazie per averci contattato. </p><p>Al fine di aggiungere manualmente il soggetto realizzatore estero, necessitiamo di ulteriori dati. Ti invitiamo quindi ad aprire una nuova richiesta di assistenza fornendoci i seguenti dati che provvederemo ad inserire: </p><p>Dati del soggetto realizzatore: </p><p>• Denominazione </p><p>• P.IVA/Codice fiscale </p><p>• [FAKE_INDIRIZZO] sede legale </p><p>• [FAKE_INDIRIZZO] </p><p>• [FAKE_INDIRIZZO] </p><p>• [FAKE_INDIRIZZO] </p><p> </p><p>Dati del titolare effettivo: </p><p>• Nome </p><p>• Cognome </p><p>• Codice fiscale </p><p> </p>",Da completare con ulteriore informazioni,"<p>Gentile Monia, come precedentemente comunicato, al fine di aggiungere manualmente il soggetto realizzatore estero, necessitiamo di ulteriori dati. Ti invitiamo quindi ad aprire una nuova richiesta di assistenza fornendoci i seguenti dati che provvederemo ad inserire: </p><p>Dati del soggetto realizzatore: </p><p>• Denominazione </p><p>• P.IVA/Codice fiscale </p><p>• [FAKE_INDIRIZZO] sede legale </p><p>• [FAKE_INDIRIZZO] </p><p>• [FAKE_INDIRIZZO] </p><p>• [FAKE_INDIRIZZO] </p><p> </p><p>Dati del titolare effettivo: </p><p>• Nome </p><p>• Cognome </p><p>• Codice fiscale</p>",https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000dP5kgQAC/view
500bU00000dOj58QAC,01251018,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,,2.2.3 Digitalizzazione delle procedure SUAP e SUE,Modifica uffici,"[FAKE_INDIRIZZO], come da mail inviatami in data 11/12/25, vorrei chiedere la possibiltà di modificare gli uffici oggetto dell'adeguamento in quanto erroneamente indicato l'uffico SUAP. Come da scren allegato al momento non ho questa possibiltà. Chiediamo sblocco per poter modificare l'uffcio oggetto di adeguamento.","<p>[FAKE_PERSON], grazie per averci contattato. Ti informiamo che il progetto è nello stato di verifica e quindi, poiché l’Ente si trova nella fase di “asseverazione tecnica”, non è possibile procedere in questa fase alla rettifica delle informazioni riportate in piattaforma.</p><p>Ti confermiamo che le anomalie evidenziate, qualora ritenuto necessario, potranno essere oggetto di sanatoria nelle successive fasi di asseverazione, previa puntuale richiesta da parte dell’asseveratore.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000dOj58QAC/view
500bU00000dOXF6QAO,01251019,Amministrazione,Altro - Servizi Aggiunti,,1.3.1 ANNCSU,cambio super admin,"[FAKE_INDIRIZZO], la dott.ssa [FAKE_PERSON] che ha il ruolo di Superadmin, per le procedure qui inserite è andata in pensione come posso fare per sostituirla con una altro responsabile a cui è stato fatto il decreto dal legale rappresentante?","<p>Gentile Sara, grazie per averci contattato. Ti informiamo che per sostituire l&#39;utenza che ricopre il ruolo di Super Admin, la procedura può essere attivata direttamente dal nuovo utente che dovrà accedere con SPID o CIE su [FAKE_INDIRIZZO] digitale 2026, inserire i suoi dati personali, ricercare la [FAKE_INDIRIZZO] e aggiungere una motivazione di subentro.</p><p>La piattaforma invierà una PEC alla [FAKE_INDIRIZZO], che dovrà approvare la richiesta di subentro. Dopo l’approvazione, il nuovo utente riceverà un invito tramite mail e potrà operare come Super admin. L’utenza dell’attuale Super admin verrà così eliminata.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000dOXF6QAO/view
500bU00000dP7THQA0,01251022,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,,1.3.1 ANNCSU,BLOCCO DELLA PAGINA DI CONCLUSIONE DELLE ATTIVITA',Abbiamo affidato ad una azienda il lavoro la quale ha completato tutte le attività ma da settimane la pagina per la conclusione delle attività è bloccata e non è possibile inserire i dati richiesti. Si chiede di sbloccare la pagina di conclusione. Grazie,"<p>Gentile [FAKE_PERSON], grazie per averci contattato.</p><p>Ti informiamo che è in atto un malfunzionamento nel flusso dati tra Agenzia delle Entrate e questa piattaforma PADigitale2026. La Piattaforma PAdigitale infatti pre-carica automaticamente i dati forniti da Agenzia delle Entrate una volta che l&#39;ente ha completato le attività sul portale dedicato. Dopo che i campi si saranno valorizzati, sarà possibile procedere con il completamento delle attività e mandare il progetto in verifica tecnica.</p><p>Da quanto ci è stato comunicato, il ripristino del flusso dati corretto dovrebbe avvenire nella giornata odierna, per cui ti invitiamo a monitorare nuovamente lo step 4 di completamento attività tra oggi e domani 27/01. In caso di mancata valorizzazione ti invitiamo ad aprire una nuova richiesta di supporto e ti suggeriamo di <strong>richiedere una proroga </strong>del tuo cronoprogramma vista la scadenza imminente fissata al 30/01.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000dP7THQA0/view
500bU00000dOqrbQAC,01251024,Amministrazione,Altro - Servizi Aggiunti,,1.2 Abilitazione e facilitazione migrazione al Cloud,Step 2 Documento caricato Carica la domanda di erogazione del finanziamento firmata digitalmente.,"buongiorno il sistema da l'errore solito,","<p>[FAKE_PERSON], grazie per averci contattato.</p><p>Ti informiamo che da verifiche interne il sistema rileva difformità tra il documento scaricato e quello caricato firmato digitalmente in quanto, in luogo del corretto Allegato 5 firmato è stato caricato il Certificato di regolare esecuzione a firma del RUP. Infatti, il file rinominato &quot;Allegato 5.p7m&quot; contiene le informazioni relative al CRE. Ti suggeriamo di eseguire la procedura nuovamente procedendo a scaricare l&#39;Allegato 5, firmarlo digitalmente e ricaricarlo ed in caso di eventuali errori riscontrati, aprire una nuova richiesta di [FAKE_INDIRIZZO]>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000dOqrbQAC/view
500bU00000dQ6D6QAK,01251035,Amministrazione,Altro - Servizi Aggiunti,,1.3.1 ANNCSU,MODIFICA NOMINATIVO RUP,"[FAKE_INDIRIZZO], dalla fase di adesione a quella di affidamento è variato il [FAKE_PERSON] in quanto c'è stato un cambio di Posizione Organizzativa all'interno dell'Ente. Chiedo come procedere per modificare il nominativo del RUP","<p>[FAKE_PERSON], grazie per averci contattato.</p><p>In caso di cambio nomina del RUP si ritiene opportuna la redazione di un atto ricognitivo contenente le informazioni relative all&#39;avvicendamento del RUP in carica che firmerà digitalmente il Certificato di regolare esecuzione allo step 5 in piattaforma. </p><p>Inoltre, riportiamo le informazioni generali per la redazione del documento:</p><p>Il certificato di regolare esecuzione (CRE) da predisporre a cura del RUP non deve necessariamente rispettare una modulistica precisa e può essere prodotto in autonomia. Si riporta la lista degli elementi essenziali che devono essere presenti sul CRE:</p><p>-CUP</p><p>-Riferimento ad avviso e decreto di finanziamento</p><p>-Data di avvio delle attività di progetto;</p><p>-Indicazione puntuale di tutte le attività/servizi di cui si attesta la regolare esecuzione (preferibilmente indicando per ciascun servizio, il relativo atto di affidamento);</p><p>-Riferimento a tutti i contratti stipulati per la realizzazione delle attività o determina di affidamento o ordine di servizio del personale.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000dQ6D6QAK/view
500bU00000dPag2QAC,01251038,Amministrazione,Altro - Servizi Aggiunti,,1.2 Abilitazione e facilitazione migrazione al Cloud,richiesta info in merito ai CUP afferenti ai PNRR PAGITALE2026,"Si richiede se i codici Unici di Progetto (CUP) generati e presenti sulla piattaforma  [FAKE_INDIRIZZO] devono essere monitorati nella BDAP-MOP (Banca Dati Amministrazioni Pubbliche - Monitoraggio Opere Pubbliche), in","<p>[FAKE_PERSON], grazie per averci contattato. No, in quanto l’adempimento richiamato attiene al monitoraggio delle [FAKE_INDIRIZZO], quindi una tipologia di investimento diversa da quella prevista con l’Avviso de quo. In particolare, l’oggetto di monitoraggio del MOP sono gli interventi di realizzazione di lavori pubblici (opere ed impiantistica), identificati da CUP e finanziati con risorse pubbliche (statali, regionali, comunali, ecc.), private e miste (es. Partenariato Pubblico Privato). Non sono oggetto di monitoraggio gli interventi finanziati o cofinanziati tramite fondi europei, tramite il Fondo per lo sviluppo e la coesione e il PNRR in quanto monitorati attraverso gli applicativi specifici utilizzati dal Ministero dell’Economia e delle Finanze - Dipartimento della Ragioneria Generale dello Stato.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/500bU00000dPag2QAC/view
