_,Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c,url
[Case],5007Q00000ZGMmiQAH,01152913,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.2 Abilitazione e facilitazione migrazione al Cloud,[FAKE_INDIRIZZO] SERVIZIO DA MIGRARE,"In candidatura è stato indicato il servizio: PIATTAFORMA DIDATTICA DIGITALE INTEGRATA come ""Attività avviata dopo il 1° febbraio 2020 con risorse proprie"" e non come ""[FAKE_PERSON] AVVIARE"". E' possibile modificare lo stato di migrazione?","<p><span style="""">Gentile Flavia, grazie per averci contattato.</span></p><p><span style="""">Ti invitiamo ad accedere alla sezione &quot;I tuoi progetti&quot;, cliccare sul progetto di tuo interesse e nella sezione “Ulteriori documenti allegati” caricare un documento che indichi la caratteristica attuativa corretta, sottoscritto dal Rappresentante Legale dell&#39;Ente.</span></p><p><span style="""">Ti ricordiamo che discriminante per la caratteristica attuativa (&quot;da avviare&quot; oppure &quot;già avviato&quot;) è la data di sottomissione della candidatura e che la validità della documentazione potrà essere accertata esclusivamente in fase di asseverazione formale e controlli a campione.</span></p><p><br></p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000ZGMmiQAH/view
[Case],5007Q00000ZGMnVQAX,01152914,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Upload di documenti,1.2 Abilitazione e facilitazione migrazione al Cloud,Errore ne caricamento documento firmato,"[FAKE_INDIRIZZO], nel caricare il documento di richiesta erogazione del finanziamento debitamente firmato dal DS, compare il seguente errore (come da screenshot allegato): ""attenzione, la firma sul documento non è valida per scadenza temporale o certificato scaduto."" Tuttavia il certificato di firma digitale della DS è valido ed attivo fino al 2026, pertanto si chiede come poter agire per superare tale problematica.","<p>[FAKE_PERSON], grazie per averci contattato. Affinchè si possa completare correttamente la procedura di caricamento dell&#39; allegato firmato digitalmente, è necessario assicurarsi che, una volta creato e scaricato il documento da firmare, esso non subisca ulteriori salvataggi. Ad esempio è necessario che non si salvi con nome e/o che non vengano effettuate operazioni di &quot;copia e incolla&quot;.</p><p>Tali azioni, infatti, determinerebbero una modifica della natura del file, rendendolo inaccettabile dalla piattaforma.</p><p>Ti suggeriamo quindi di eliminare il documento firmato che genera errore e, a partire dall&#39;allegato in PDF generato dalla piattaforma, ripetere la procedura seguendo le indicazioni.</p>","Purtroppo, pur seguendo le indicazioni, il problema persiste identico a quanto descritto in precedenza.","<p>[FAKE_PERSON], grazie per averci contattato. La tua segnalazione inerente il problema riscontrato durante il caricamento del documento firmato digitalmente è stata risolta. Ti invitiamo pertanto a riprovare caricando nuovamente il documento firmato.</p>",https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000ZGMnVQAX/view
[Case],5007Q00000ZGMnzQAH,01152915,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Variazioni e rinunce,1.2 Abilitazione e facilitazione migrazione al Cloud,non mi fa allegare il doc firmato digitalmente di rinuncia,"sto provando a rinunciare al progetto caricando la stessa con firma digitale e compare sempre questo messaggio: Attenzione, la firma sul documento non è valida per scadenza temporale o certificato scaduto. Modificala e carica l'ultima versione del documento. La firma funziona, solo oggi ho firmato decine di doc. Ho allegato il doc in tutti i formati di firma digitale.","<p>Gentile [FAKE_PERSON], grazie per averci contattato. Affinchè si possa completare correttamente la procedura di caricamento dell&#39; allegato firmato digitalmente, è necessario assicurarsi che, una volta creato e scaricato il documento da firmare, esso non subisca ulteriori salvataggi. Ad esempio è necessario che non si salvi con nome e/o che non vengano effettuate operazioni di &quot;copia e incolla&quot;.</p><p>Tali azioni, infatti, determinerebbero una modifica della natura del file, rendendolo inaccettabile dalla piattaforma.</p><p>Ti suggeriamo quindi di eliminare il documento firmato che genera errore e, a partire dall&#39;allegato in PDF generato dalla piattaforma, ripetere la procedura seguendo le indicazioni.</p><p> </p><p>Per poter caricare correttamente il file è necessario: </p><p>• non rinominare il file PDF </p><p>• firmare digitalmente il file scaricato (senza modificare o scannerizzare) &quot;Rinuncia al finanziamento&quot; ( non aggiungere &quot;FIRMATO_ &quot; nel nome del file )</p><p>• il file caricato sia in formato P7M (CADES) sia in formato PADES</p><p>• il file caricato corrisponda all’ultima versione scaricata; </p><p>• sia presente la firma digitale; </p><p>• la firma digitale sia quella del rappresentante legale. </p><p>Ti ringraziamo per la collaborazione, e ti ricordiamo che la generazione del documento pdf potrebbe non essere instantanea.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000ZGMnzQAH/view
[Case],5007Q00000ZGMplQAH,01152917,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Malfunzionamento della Piattaforma,1.2 Abilitazione e facilitazione migrazione al Cloud,caricamento allegato 5,"si è proceduto a caricare il documento, allegato 5 firmato,  in piattaforma seguendo le indicazioni riportate, ma non lo carica correttamente (dice che il documento di firma è scaduto) in realtà non è così. Si prega di sbloccare la situazione in quanto non è possibile chiudere il progetto. In attesa si porgo distinti saluti il dsga [FAKE_PERSON]","<p>[FAKE_PERSON], grazie per averci contattato. Affinchè si possa completare correttamente la procedura di caricamento dell&#39; allegato firmato digitalmente, è necessario assicurarsi che, una volta creato e scaricato il documento da firmare, esso non subisca ulteriori salvataggi. Ad esempio è necessario che non si salvi con nome e/o che non vengano effettuate operazioni di &quot;copia e incolla&quot;.</p><p>Tali azioni, infatti, determinerebbero una modifica della natura del file, rendendolo inaccettabile dalla piattaforma.</p><p>Ti suggeriamo quindi di eliminare il documento firmato che genera errore e, a partire dall&#39;allegato in PDF generato dalla piattaforma, ripetere la procedura seguendo le indicazioni.</p><p>Per poter caricare correttamente il file è necessario:</p><p>• non rinominare il file PDF (rimuovere precedentemente dalla cartella in cui si scarica il documento eventuali copie precedenti)</p><p>• firmare digitalmente il file scaricato (senza modificare o scannerizzare) &quot;Allegato 5&quot;</p><p>• il file caricato sia in formato P7M (CADES) o PADES (.pdf)</p><p>• il file caricato corrisponda all’ultima versione scaricata;</p><p>• sia presente la firma digitale;</p><p>• la firma digitale sia quella del rappresentante legale.</p><p>Ti ringraziamo per la collaborazione, e ti ricordiamo che la generazione del documento pdf potrebbe non essere instantanea. Ti invitiamo a [FAKE_INDIRIZZO]>","Avevamo già fatto tutto secondo la procedura, per questo abbiamo scritto.
Anche se fatto tutto regolarmente il file non va a buon fine.",<p>Come da conversazione telefonica ti informiamo la tua segnalazione inerente il problema riscontrato durante il caricamento del documento firmato digitalmente è stata risolta pertanto ti invitiamo pertanto a riprovare caricando nuovamente il documento firmato.</p>,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000ZGMplQAH/view
[Case],5007Q00000ZGMqeQAH,01152920,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Candidatura,,Territorio - accesso al portale del sindaco del [FAKE_INDIRIZZO] di [FAKE_INDIRIZZO],"Nel comune di [FAKE_INDIRIZZO], c_c160, il dipendente accreditato ad accedere a [FAKE_INDIRIZZO] ha lasciato l'ente. Il legale rappresentante, sindaco da poco, è correttamente configurato su IPA e ha firmato digitalmente i documenti degli avvisi, ma [FAKE_INDIRIZZO] PUO' accedere a [FAKE_INDIRIZZO], in quanto l'accesso risulta ancora a nome della vecchia dipendente  e ogni volta che deve caricare un documento le deve ""chiedere un favore"". Si chiede di abilitare il sindaco. Grazie",,,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000ZGMqeQAH/view
[Case],5007Q00000ZGMw8QAH,01152926,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,1.2 Abilitazione e facilitazione migrazione al Cloud,Migrazione al cloud inventario e magazzino,"L'Istituzione Scolastica in fase di candidatura ha selezionato tra i servizi migrabili al cloud il servizio ""inventario-magazzino"": nel menu di selezione dei servizi migrabili all'atto della domanda le due voci erano associate. L'[FAKE_INDIRIZZO] infatti dispone di un software in locale per la gestione dell'inventario e necessita la sua migrazione in cloud. Non dispone e non necessita invece del software magazzino. A riguardo, si rappresenta che il proprio fornitore dei servizi (BitLab - ArgoSoftware) scinde i due servizi e consente esclusivamente l'acquisto in maniera separata e indipendente. Alla luce di quanto esposto, è possibile utilizzare le risorse autorizzate per il solo ed esclusivo servizio di inventario? Tanto tenuto conto che, come premesso, l'istituzione scolastica necessita esclusivamente di questo servizio. In fase di asseverazione potranno esserci delle problematiche in merito poichè non si dispone del software e/o servizio magazzino? Grazie","<p>[FAKE_PERSON], grazie per averci contattato. </p><p>Ti informiamo in premessa che il servizio di supporto di PaDigitale2026 non ha la competenza di prevalutare gli scenari di ammissibilità delle migrazioni. Questi potranno essere verificati solo in sede di asseverazione.</p><p>Ti ricordiamo in ogni caso che, secondo quanto previsto dall&#39;Allegato 2 dell&#39;Avviso, la migrazione deve essere fatta per tutti gli applicativi, database e sistemi utilizzati per l’erogazione dei servizi selezionati.</p><p>Ti informiamo inoltre che l&#39;Allegato 2 dell&#39;Avviso descrive il servizio &quot;Inventario Magazzino&quot; come quel servizio che &quot;contiene la lista dei componenti attivi e passivi del patrimonio della [FAKE_INDIRIZZO], registrati sotto gli aspetti qualitativo e quantitativo, comprese le scorte aziendali.&quot;</p><p>Pertanto dovranno essere migrati tutti gli applicativi, i database e i sistemi utilizzati dall&#39;Ente per la gestione del servizio, come sopra descritto. Qualora il tuo ente non gestisca il [FAKE_INDIRIZZO] e quindi non siano presenti all&#39;interno dell&#39;ente strumenti di gestione di questo &quot;sottoservizio&quot;, non è richiesta la migrazione del Magazzino.</p><p>Nel caso tu ritenga utile approfondire la situazione del tuo ente e del tuo progetto ti suggeriamo di richiedere un contatto con l’Account Manager del tuo territorio utilizzando il Form all’indirizzo che segue: https://padigitale2026.gov.it/team-territoriali. </p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000ZGMw8QAH/view
[Case],5007Q00000ZGMyiQAH,01152927,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Implementazione del progetto e dei servizi,1.2 Abilitazione e facilitazione migrazione al Cloud,Ammissibilità del finanziamento [FAKE_PERSON],"Premesso che questo [FAKE_INDIRIZZO] si serviva da prima del 1 febbraio 2020 della piattaforma AXIOS che, per il registro elettronico, presenta un applicativo ibrido poiché scarica i dati sul database, si chiede l'ammissibilità del finanziamento per il medesimo servizio del registro elettronico, proposto da [FAKE_PERSON], ma INTERAMENTE sul cloud.","<p>[FAKE_PERSON], grazie per averci contattato.</p><p>Ti informiamo in premessa che il servizio di supporto di PaDigitale2026 non ha la competenza di prevalutare gli scenari di ammissibilità delle migrazioni. Questi potranno essere verificati solo in sede di asseverazione. </p><p>In ogni caso, per stabilire l&#39;ammissibilità del tipo di migrazione effettuata, ti suggeriamo di visionare il paragrafo &quot;Scenari di ammissibilità&quot; dell&#39;Allegato 2 dell&#39;Avviso, all&#39;interno del quale sono esemplificate le possibili migrazioni con diversa orgine e diversa destinazione. Ti invitiamo a consultare inoltre le faq pubblicate al seguente link https://padigitale2026.gov.it/supporto/domande-frequenti#05_misure/002-measure-1-2/001_Qualisonogliscenaridimigrazioneammissibili</p><p>Nel caso tu ritenga utile approfondire la situazione del tuo ente e del tuo progetto ti suggeriamo di richiedere un contatto con l’Account Manager del tuo territorio utilizzando il Form all’indirizzo che segue: https://padigitale2026.gov.it/team-territoriali. </p><p><br></p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000ZGMyiQAH/view
[Case],5007Q00000ZGMzHQAX,01152929,Amministrazione,Altro - Servizi Aggiunti,Enti beneficiari,,misura infrastrutture digitali e cybersecurity 2024,"Buongiorno, ringrazio per la precedente risposta in merito alla misura 1.1 infrastrutture digitali. Vi pongo un nuovo quesito: nei prossimi mesi è prevista una nuova misura agevolativa per - [FAKE_INDIRIZZO] locali? - Ordini professionali (dottori commercialisti, ingegneri, geometri, avvocati)? che possa agevolare l'acquisto di attrezzature, macchine, predisposizione wi-fi in ottica di innalzamento livello di sicurezza informatica degli interi Ordine, così come per le [FAKE_INDIRIZZO] locali. Ringrazio e saluto cordialmente [FAKE_PERSON]",,,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000ZGMzHQAX/view
[Case],5007Q00000ZGN4vQAH,01152934,Implementazione e sviluppo progetto,Altro - Servizi Aggiunti,Implementazione del progetto e dei servizi,,"ATTESTAZIONE EDIFICIO PREDISPOSTO ALLA BANDA ULTRA LARGA, COME INVIARE I DATI A SINFI","AI SENSI [FAKE_INDIRIZZO] DEL DPR 380/01 COMMA 2-BIS IL COMUNE, ENTRO 90 GG DAL RICEVIMENTO DELLA Segnalazione Certificata Agibilità, è TENUTO A COMUNICARE I DATI RELATIVI A ""EDIFICIO PREDISPOSTO ALLA BANDA ULTRA LARGA"" A SINFI. NON TROVO COME E A CHI INVIARE TALE INFORMAZIONE. RINGRAZIO, RESTO A DISPOSIZIONE, ANNA SOFFRITTI. [FAKE_INDIRIZZO] DI GAZZADA SCHIANNO",,,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000ZGN4vQAH/view
[Case],5007Q00000ZGN6TQAX,01152940,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Upload di documenti,,Progetti / 1.4.3 - app [FAKE_INDIRIZZO] istanza di modifica del progetto,"Abbiamo modificato il progetto per cambio servizi. In fase di caricamento della istanza di modifica, firmata digitalmente sia cades che pades, la procedura visualizza il seguente messaggio: Attenzione, la firma sul documento non è valida per scadenza temporale o certificato scaduto. Modificala e carica l'ultima versione del documento.","<p>Gentile Utente, grazie per averci contattato.</p><p>Da verifiche hai correttamente caricato il documento firmato digitalmente &quot;Istanza di Modifica&quot;.</p>",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000ZGN6TQAX/view
