_,Id,CaseNumber,Ambito__c,Categoria__c,Dettaglio_richiesta__c,Misura__c,Subject,Description,Risoluzione__c,Commenti_Ente__c,Ulteriori_informazioni_a_supporto__c,url
[Case],5007Q00000LXyURQA1,01121355,Processo di adesione e monitoraggio,Altro - Servizi Aggiunti,Rendicontazione e documenti giustificativi,1.4.3 Adozione PagoPA e AppIO,Spese sostenute esclusivamente per il personale interno,"[FAKE_PERSON] bisogno di sapere come - in fase di asseverazione - potrebbe essere valutato un servizio di pagamento pagoPA dichiarato in fase di candidatura come ""Attività avviata dopo il 31/03/2021 con risorse proprie"", qualora le spese sostenute dall'Ente siano state esclusivamente quelle per il personale dipendente interno (che materialmente, dopo il 31/03/2021,  si è adoperato per avviare l'attività dello specifico servizio di pagamento), oltre al pagamento di un canone annuo per il mantenimento del ""collettore"" software riconosciuto all'intermediario tecnologico (canone non influenzato dal numero di servizi di pagamento pagoPA attivati).","Gentile Luca, grazie per averci contattato. 
Lo scenario da te illustrato appare corretto in quanto è possibile accedere al finanziamento previsto dall&#39;Avviso nel caso in cui l&#39;attivazione dei servizi di incasso (PagoPA) sia stata realizzata a decorrere dal 1° aprile 2021 con risorse finanziarie proprie.

Per il progetto sviluppato in economia dal personale dell&#39;ente, sarà necessario inserire un Ordine di Servizio. 

Ti ricordiamo infine che l&#39;intero contributo concesso è una somma forfettaria (lump sum) che sarà erogata in un&#39;unica soluzione a seguito del perfezionamento delle attività oggetto del finanziamento come disposto dagli avvisi. Considerata la natura di lump sum del contributo, lo stesso non è collegato ai costi dell’intervento. Non è infatti prevista la rendicontazione economica a costi reali, ma la rendicontazione tecnico operativa che certifichi gli obiettivi raggiunti, come previsto dagli avvisi.

Ti informiamo inoltre che non sussistono vincoli per l&#39;impiego dell&#39;importo non utilizzato, tuttavia è consigliabile adoperarlo nell&#39;ambito della digitalizzazione. Si suggerisce, in ogni caso, di prendere visione delle &quot;Linee guida per i soggetti attuatori individuati tramite [FAKE_INDIRIZZO] pubblici a [FAKE_INDIRIZZO] sum&quot; disponibile al seguente link https://innovazione.gov.it/italia-digitale-2026/attuazione-misure-pnrr/",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000LXyURQA1/view
[Case],5007Q00000LXyVsQAL,01121308,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Accesso al Portale,,non posso più accedere a [FAKE_INDIRIZZO],"Il sistema, una volta entrata con lo spid, mi rilascia la dicitura ""Non Puoi più accedere a [FAKE_INDIRIZZO] digitale 2026"".","Gentile [FAKE_PERSON];, grazie per averci contattato. Ti confermiamo che le modifiche all&#39;utenza sono state apportate secondo le indicazioni fornite.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000LXyVsQAL/view
[Case],5007Q00000LXyW7QAL,01121310,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Registrazione utenze,,"Invitata dalla mia amministrazione con qualifica ""Editore"" sul portale ma non mi consente l'accesso.","Ho proceduto cliccato sull'invito entro 7 giorni, ma ora cerco di entrare e mi dice che la registrazione non è completa. "" La tua registrazione non è ancora completa",,,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000LXyW7QAL/view
[Case],5007Q00000LXyYrQAL,01121313,Amministrazione,Altro - Servizi Aggiunti,Servizi e Interventi finanziabili,1.2 Abilitazione e facilitazione migrazione al Cloud,RICHIESTA [FAKE_PERSON] SU ATTUAZIONE DEI SERVIZI AUTORIZZATI PER L'AVVISO 1.2 - ABILITAZIONE AL CLOUD,"Premesso che questo [FAKE_INDIRIZZO] ha presentato la candidatura all'avviso 1.2 e che la stessa è stata autorizzata con decreto n. 67-2/2022 finestra temporale n. 2, con la presente si chiede un chiarimento ai fini dell'attuazione e rendicontazione dell'avviso stesso.","[FAKE_PERSON], grazie per averci contattato.
Ti confermiamo che tutti i servizi selezionati in fase di candidatura devono necessariamente essere correttamente realizzati, come previsto dall&#39;Avviso riferito alla Misura 1.2.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000LXyYrQAL/view
[Case],5007Q00000LXyarQAD,01121325,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,1.4.1 Esperienza dei servizi pubblici,codici gestionali,Buongiorno,"Gentile [FAKE_PERSON], grazie per averci contattato. Ti informiamo che dal 1° gennaio 2023 è in vigore la Circolare MEF n. 46 del 21 dicembre 2022, contenente i seguenti codici gestionali: Cod. 36, cod. 39, cod. 277, cod. 205. Ti consigliamo di selezionare, tra quelli attualmente presenti, il codice più attinente alle attività svolte.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000LXyarQAD/view
[Case],5007Q00000LXyb1QAD,01121327,Amministrazione,Altro - Servizi Aggiunti,Servizi e Interventi finanziabili,1.4.3 Adozione PagoPA e AppIO,[FAKE_INDIRIZZO],NELLA CONFIGUTAZIONE DEL PACCHETTO VEDO SOLO I SERVIZI NON ATTIVABILI PERCHE' GIA FINANZIATI. L'ELENCO DEI SERVIZI DA ATTIVARE/ATTIVABILI ESISTE OPPURE SI POSSONO INSERIRE [FAKE_INDIRIZZO] PIACERE.,"[FAKE_PERSON], grazie per averci contattato. Non è presente in piattaforma un elenco di nuovi servizi dal quale scegliere i servizi da integrare su AppIO. Per l&#39;individuazione dei servizi attivabili ti invitiamo a consultare l&#39;allegato 2 punto A . Definizione dei servizi",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000LXyb1QAD/view
[Case],5007Q00000LXybGQAT,01121328,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,1.4.1 Esperienza dei servizi pubblici,richiesta chiarimento,nella compilazione dello step 5 RICHIESTA DI EROGAZIONE DI FINANZIAMENTO NEL  MENU' A TENDINA NELLA SEZIONE DATI CONTABILI  QUALE CODICE [FAKE_INDIRIZZO] DEVO SCEGLIERE TRA [FAKE_PHONE]  essendo una scuola ?,"[FAKE_PERSON], grazie per averci contattato. Ti informiamo che dal 1° gennaio 2023 è in vigore la Circolare MEF n. 46 del 21 dicembre 2022, contenente i seguenti codici gestionali: Cod. 36, cod. 39, cod. 277, cod. 205. Ti consigliamo di selezionare, tra quelli attualmente presenti, il codice più attinente alle attività svolte.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000LXybGQAT/view
[Case],5007Q00000LXybuQAD,01121330,Amministrazione,Altro - Servizi Aggiunti,Contenuti dell’avviso,1.4.4 Adozione identità digitale,richiesta chiarimenti su avviso ricevuto,"buon giorno ho ricevuto il messaggio seguente con indicazione di redigere un piano di migrazione al cloud entro il 28/02/2023. Io avevo fatto richiesta di adesione al bando 1.4.4 per rendere accessibile al sito con identità digitale e non il trasferimento al cloud della nostra amministrazione poichè già operiamo in cloud. cosa devo fare? grazie mille [FAKE_PERSON] DI MIGRAZIONE Compila il piano di migrazione al cloud per la [FAKE_INDIRIZZO]. Il piano di migrazione al cloud si intende compilato e assolto se hai già inviato una candidatura 1.2. Se hai già inviato una candidatura 1.2 e la tua amministrazione ha ulteriori servizi da migrare, puoi compilare un’integrazione al piano di migrazione.","[FAKE_PERSON], grazie per averci contattato.
Ti informiamo che è necessario inviare il piano di migrazione entro il 28.02.2023. 
I piani di migrazione, la cui compilazione è a cura delle amministrazioni, riportano la lista e la modalità di migrazione dei dati e dei servizi digitali che le amministrazioni migreranno verso infrastrutture e cloud qualificati come previsto dall&#39;articolo 10, comma 1, del regolamento adottato con determinazione AgID n. 628/2021 del 15 dicembre 2021.
Nel piano da compilare in piattaforma le informazioni da inserire sono il servizio  da migrare in cloud e la modalità di migrazione pianificata, scegliendo tra aggiornamento in sicurezza e trasferimento in sicurezza.
Infine, è possibile modificare il piano di migrazione anche successivamente alla sottomissione, integrandone o eliminandone servizi. Ti invitiamo ad accedere e a selezionare la sezione Cloud della tua [FAKE_INDIRIZZO].","[FAKE_PERSON] giorno non ho capito se il piano di migrazione lo devo fare comunque, perchè come struttura abbiamo aderito al bando ""ESTENSIONE DELL’UTILIZZO DELLE PIATTAFORME NAZIONALI DI IDENTITÀ DIGITALE - SPID CIE"". 
Come struttura siamo già operativi su un cloud certificato Agid, quindi non ne capisco l'utilità e le eventuali conseguenze successive alla vostra richiesta.

grazie
[FAKE_PERSON]","[FAKE_PERSON], grazie per averci contattato.

I piani di migrazione dei dati e dei servizi digitali delle amministrazioni sono previsti dall’articolo 10, comma 1, del regolamento adottato con determinazione AGID n. 628/2021 del 15 dicembre 2021.

Tutte le amministrazioni centrali e locali, così come individuate dall&#39;elenco ISTAT, sono obbligate ad inviare il piano di migrazione, salvo i casi di deroga previsti dall&#39;articolo 33-septies del DL 179/2012. 

Per le amministrazioni che non hanno partecipato alla misura 1.2, è necessario compilare il piano di migrazione nella sezione &quot;Cloud&quot;, accedendo all&#39;area riservata della piattaforma. Questa azione non è collegata ad un finanziamento bensì risponde all’obbligo di legge così come sopra descritto e all’obiettivo di full migration previsto dal PNRR entro il 30/06/2026.

Per la compilazione, è necessario inserire tutti i servizi che l&#39;ente intende migrare al cloud ai fini del rispetto dell&#39;obbligo indicato all&#39;articolo 33-septies del DL 179/2012.

Se alla data di presentazione del piano di migrazione e in base alla classificazione dei dati e servizi effettuata, l&#39;Amministrazione dovesse riscontrare di non dover migrare dati e servizi in quanto già migrati precedentemente verso il PSN o data center adeguati / soluzioni cloud qualificate rispetto ai requisiti del Regolamento Cloud AgID del 15 dicembre 2021 e della Determina 307 ACN del 18 gennaio 2022 e a quanto previsto dal Decreto ACN del 2 gennaio 2023, tali dati e servizi non devono essere inseriti nel piano di migrazione che, pertanto, non dovrà essere inviato.  

Ti informiamo infine che, da verifiche effettuate, SPID-CIE non risultano integrate e non ci risulta nessuna candidatura inviata sulla misura 1.4.4.",https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000LXybuQAD/view
[Case],5007Q00000LXycJQAT,01121331,Malfunzionamenti Piattaforma,Altro - Servizi Aggiunti,Malfunzionamento della Piattaforma,Nessuno,piano di migrazione al cloud,"[FAKE_INDIRIZZO], sulla scrivania trovo un avviso per il completamento del piano di migrazione al cloud. Una volta selezionati i servizi, il pulsante ""avanti"" resta grigio. Il piano è salvato in bozza. Come posso risolvere?","[FAKE_PERSON], grazie per averci contattato.
Al fine di procedere con la sottomissione del Piano di migrazione, ti suggeriamo di verificare che, per tutti i servizi selezionati, sia stata correttamente inserita la modalità di migrazione. Infatti, soltanto inserendo la modalità di migrazione per tutti i servizi sarà possibile procedere con la sottomissione del Piano di migrazione",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000LXycJQAT/view
[Case],5007Q00000LXycsQAD,01121332,Amministrazione,Altro - Servizi Aggiunti,Erogazione delle risorse,1.1 Migrazione al PSN - PAC,Richiesta possibilità firma del piano di migrazione da parte di un delegato del Ministro,"Si richiede se è possibile far firmare il piano di migrazione da un delegato del Ministro, ad esempio [FAKE_INDIRIZZO], Direttore generale oppure dirigente che è stato autorizzato ad inserire la classificazione dei dati e dei servizi sul portale.","Gentile Diego, grazie per averci contattato. Come anticipato telefonicamente, ti confermiamo che il vertice di una delle articolazioni organizzative di primo livello (Direzioni generali/Dipartimenti/Comandi) può firmare e inviare il piano di migrazione. Ti chiediamo, pertanto, di aprire un nuovo ticket e di allegare:
1. il suddetto piano firmato digitalmente;
2. una dichiarazione in cui si attesta l&#39;incarico ricoperto. [FAKE_PERSON] firmata digitalmente.",,,https://padigitale2026.lightning.force.com/lightning/r/Case/5007Q00000LXycsQAD/view
